PLAYER,POS,LANE AGILITY TIME,SHUTTLE RUN,THREE QUARTER SPRINT,STANDING VERTICAL LEAP,MAX VERTICAL LEAP,BODY FAT %,HAND LENGTH (INCHES),HAND WIDTH (INCHES),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN,YEAR
Melo Trimble,PG,10.57,2.77,3.2,26.5,35.5,8.35%,8,8.75,6' 1.25'',6' 2.5'',7' 8.5'',191.8,6' 2'',2016
Michael Gbinije,SG,11,3.19,3.12,33.5,37.5,5.40%,8,9,6' 5.5'',6' 6.75'',8' 5'',204.6,6' 7.5'',2016
Nigel Hayes,SF-PF,12.11,2.9,3.2,25.5,28.5,10.90%,8.5,9.5,6' 6.25'',6' 7.25'',8' 11.5'',245,7' 3'',2016
Pascal Siakam,PF,11.25,3.09,3.41,30.5,36.5,5.20%,9.25,10,6' 8.25'',6' 9.5'',8' 11.5'',226.6,7' 3.25'',2016
Patrick McCaw,PG-SG,11.01,2.97,3.3,30,38,4.70%,8.75,8.75,6' 5.25'',6' 6.75'',8' 4.5'',180.8,6' 10'',2016
Perry Ellis,PF,10.73,3.03,3.13,32,38,4.60%,8,8.5,6' 7'',6' 8.25'',8' 6'',217.8,6' 10.25'',2016
Ron Baker,SG,10.77,2.96,3.45,30,35.5,7.85%,8.75,9.5,6' 3.25'',6' 4.25'',8' 1.5'',212.4,6' 9.75'',2016
Skal Labissiere,PF-C,-,-,-,-,-,5.70%,8.75,9,6' 10.5'',6' 11.75'',8' 9.5'',215.8,7' 2.5'',2016
Stephen Zimmerman,C,12.08,3.16,3.43,26,31,11.15%,9,9,6' 10.25'',6' 11.75'',9' 0.5'',234,7' 3.25'',2016
Taurean Prince,SF,10.96,2.8,3.24,34,36,6.45%,9,8.5,6' 6.5'',6' 7.75'',8' 6'',220.2,6' 11.5'',2016
Thon Maker,PF,11.15,3.09,3.33,32,36.5,6.05%,8.75,9.5,6' 11.75'',7' 0.75'',9' 2.5'',216,7' 3'',2016
Troy Williams,SF,10.72,3.08,3.35,30,36,10.00%,8.25,9.25,6' 5.75'',6' 6.75'',8' 6'',217.8,6' 8.25'',2016
Tyler Ulis,PG,10.8,2.88,3.2,32.5,38,5.20%,7.5,7.5,5' 8.75'',5' 10'',7' 4.5'',149.2,6' 2'',2016
Wade Baldwin IV,PG,10.45,3.01,3.19,32.5,38,5.20%,9,9.75,6' 2.5'',6' 4'',8' 4'',201.8,6' 11.25'',2016
Wayne Selden,SG,-,-,-,-,-,7.30%,9,9.25,6' 4.25'',6' 5.75'',8' 5'',232.4,6' 10.5'',2016
Zhou Qi,PF-C,11.27,2.9,3.46,31.5,32,4.85%,9.25,9.5,7' 1.25'',7' 2.25'',9' 4.5'',218.2,7' 7.75'',2016
Aaron Harrison,SG,-,-,3.27,28.5,34.5,6.00%,8.75,10,6' 4.5'',6' 6'',8' 4.5'',209.2,6' 8.25'',2015
Alan Williams,PF,12.26,3.54,3.5,25.5,28.5,12.00%,8.5,9.5,6' 7.25'',6' 8.25'',8' 10.5'',261.4,7' 1.75'',2015
Andrew Harrison,PG,11.2,-,3.34,26.5,33,5.90%,8.25,9.25,6' 4.5'',6' 5.5'',8' 4'',213.2,6' 9'',2015
Anthony Brown,SF-SG,10.94,3.29,3.18,27.5,34.5,6.10%,8.5,9,6' 5.75'',6' 7.25'',8' 8.5'',211,6' 11'',2015
Bobby Portis,PF,11.78,3.28,3.56,25,31.5,8.90%,9.5,9.25,6' 9.5'',6' 10.5'',9' 0.5'',246.2,7' 2'',2015
Branden Dawson,PF,12.22,3.53,3.2,28.5,34.5,5.80%,9,8.75,6' 5.5'',6' 6.75'',8' 9'',230.2,6' 11'',2015
Brandon Ashley,PF,11.21,3.35,3.58,31.5,35.5,8.80%,9,9.5,6' 7.25'',6' 8.5'',8' 9'',228,7' 3.75'',2015
Cameron Payne,PG,10.9,2.93,3.28,29.8,35.5,6.30%,8.5,8.25,6' 0.75'',6' 1.5'',8' 1.5'',182.8,6' 7.25'',2015
Chasson Randle,PG,10.63,2.81,3.2,33.5,39.5,4.50%,8.5,9.5,6' 0.25'',6' 1.5'',8' 0.5'',178.8,6' 7'',2015
Chris McCullough,PF,-,-,-,-,-,6.20%,8.75,8.75,6' 8.25'',6' 9'',9' 1'',199,7' 3.25'',2015
Chris Walker,PF,11.25,3.41,3.35,30.5,37,5.10%,9,9,6' 8.75'',6' 9.25'',9' 0'',208,7' 2.75'',2015
Christian Wood,PF,-,-,-,-,-,14.70%,9.25,10.75,6' 9.25'',6' 10.5'',9' 3.5'',216,7' 3.25'',2015
Cliff Alexander,PF-C,-,-,-,-,-,5.80%,9.5,10.25,6' 7.25'',6' 8.5'',9' 1.5'',239.2,7' 3.5'',2015
Corey Hawkins,SG-PG,10.81,-,3.51,28.5,34,5.50%,8.75,9,6' 0.75'',6' 1.75'',8' 3.5'',191.8,6' 8'',2015
D?Angelo Russell,PG-SG,-,-,-,-,-,8.30%,8.75,9.75,6' 3.25'',6' 5'',8' 6'',193.4,6' 9.75'',2015
Dakari Johnson,C,11.76,2.94,3.62,22.5,25,14.90%,9.25,10.5,6' 11'',6' 11.75'',9' 4'',264.6,7' 2'',2015
Delon Wright,PG,11.16,3.5,3.29,29.5,31,6.60%,8,8.5,6' 4.25'',6' 5.5'',8' 5.5'',181.4,6' 7.5'',2015
Devin Booker,SG,10.27,2.75,3.28,27.5,34.5,8.30%,8.75,9,6' 4.5'',6' 5.75'',8' 6.5'',205.8,6' 8.25'',2015
Dez Wells,SG,10.56,3.05,3.2,31.5,39,8.10%,8.75,9.75,6' 3'',6' 4'',8' 4.5'',208.8,6' 9.5'',2015
Frank Kaminsky,C-PF,-,-,-,-,-,9.40%,8.5,9.5,6' 11.75'',7' 0.75'',9' 1.5'',231.2,6' 11'',2015
J.P. Tokoto,SF-SG,10.97,3.2,3.27,34.5,40,4.10%,8,8.75,6' 5.25'',6' 6.25'',8' 4.5'',195.8,6' 10'',2015
Jarell Martin,PF,11.2,2.97,3.27,28.5,35,10.10%,8.25,9.5,6' 8'',6' 9.25'',8' 10.5'',238.6,6' 9'',2015
Jerian Grant,PG,-,-,-,-,-,5.60%,8.25,8.5,6' 3.25'',6' 4.25'',8' 4'',198,6' 7.5'',2015
Jonathan Holmes,PF-SF,10.95,3.12,3.51,25.5,31,7.20%,8.25,9.5,6' 8.25'',6' 9.25'',8' 11.5'',242.2,6' 11.5'',2015
Jordan Mickey,PF,11.72,3.13,3.28,33,37.5,7.20%,8.75,9.5,6' 7'',6' 8.25'',8' 10'',238,7' 3.25'',2015
Justin Anderson,SF-SG,11.13,2.88,3.22,38,43,5.00%,8.5,9.5,6' 5.25'',6' 6.25'',8' 5'',230.6,6' 11.75'',2015
Justise Winslow,SF,-,-,-,-,-,5.30%,8.5,9.25,6' 4.5'',6' 6.5'',8' 8.5'',221.8,6' 10.25'',2015
Keifer Sykes,PG,10.47,3.15,3.13,34,43,5.00%,8.5,9.5,5' 10.5'',5' 11.75'',7' 9'',167.2,6' 2'',2015
Kelly Oubre,SF-SG,11.09,3.12,3.32,34.5,37,5.70%,9,8.75,6' 5.75'',6' 6.75'',8' 6.5'',202.8,7' 2.25'',2015
Kevon Looney,PF,-,-,-,-,-,11.90%,9.5,9.25,6' 8'',6' 9.25'',9' 2'',222.4,7' 3.5'',2015
Larry Nance,PF,10.93,3.01,3.25,29,37.5,6.40%,9,9.75,6' 7.5'',6' 8.5'',9' 0'',226.6,7' 1.5'',2015
Marcus Thornton,PG-SG,10.78,2.88,3.02,34.5,43,5.30%,8.25,8.5,6' 1.75'',6' 2.75'',8' 1.5'',177.4,6' 7.75'',2015
Michael Frazier II,SG,10.66,3.02,3.32,27,35,7.40%,8.25,9.25,6' 3.75'',6' 4.25'',8' 5.5'',199.4,6' 8'',2015
Michael Qualls,SG-SF,11.88,-,3.18,34,39.5,4.00%,9,10.25,6' 4'',6' 5'',8' 8.5'',201.4,7' 0.25'',2015
Montrezl Harrell,PF,-,-,-,-,-,11.90%,9,9.75,6' 7'',6' 7.5'',9' 1'',253.4,7' 4.25'',2015
Myles Turner,C-PF,-,-,-,-,-,9.30%,9.25,9.25,6' 9.75'',6' 11.5'',9' 4'',238.6,7' 4'',2015
Norman Powell,SG,10.69,3.2,3.2,32.5,40.5,6.40%,9.25,9,6' 3'',6' 4.25'',8' 6.5'',215.4,6' 10.75'',2015
Olivier Hanlan,PG-SG,11.41,3.12,3.25,28,34,4.30%,8,8.75,6' 3.25'',6' 4.25'',8' 4'',185.8,6' 6'',2015
Pat Connaughton,SG,10.58,3.08,3.2,37.5,44,10.20%,8.5,9.25,6' 4'',6' 5.25'',8' 0'',215,6' 8'',2015
Quinn Cook,PG,11.44,3.41,3.38,24.5,31,6.70%,7.5,8.75,6' 0.25'',6' 2'',8' 0.5'',179,6' 4'',2015
R.J. Hunter,SG,10.87,2.91,3.26,27.5,33.5,6.00%,8.5,8.25,6' 4.5'',6' 6'',8' 8'',185,6' 10.5'',2015
Rakeem Christmas,PF-C,11.6,3.3,3.47,29,32,9.60%,9.25,9,6' 8.25'',6' 9.75'',9' 2.5'',242.6,7' 5.25'',2015
Rashad Vaughn,SG,11.4,3.1,3.21,28,34,6.20%,8,8.5,6' 3.75'',6' 5'',8' 5'',198.6,6' 7'',2015
Richaun Holmes,PF,11.24,3.31,3.32,32.5,36,8.80%,8.5,8.5,6' 8.25'',6' 9.5'',9' 0'',242.8,7' 1.5'',2015
Robert Upshaw,C,-,-,-,-,-,12.50%,10,11,6' 10.75'',7' 0'',9' 5'',258.2,7' 5.5'',2015
Rondae Hollis-Jefferson,SF,10.41,3.19,3.12,32,38,5.00%,8.75,9.75,6' 5.5'',6' 7'',8' 8'',210.8,7' 2'',2015
Ryan Boatright,PG,10.71,3.05,3.26,32,41,6.60%,7.5,8.75,5' 10'',5' 11'',7' 8.5'',169.6,6' 0.5'',2015
Sam Dekker,SF,10.64,2.96,3.28,25.5,34.5,7.50%,8.5,9.25,6' 7.75'',6' 9'',8' 10'',218.6,6' 11.5'',2015
Stanley Johnson,SF,-,-,-,-,-,7.50%,9,9,6' 5'',6' 6.5'',8' 6'',241.8,6' 11.5'',2015
TJ McConnell,PG,10.95,3.09,3.3,26,31.5,7.30%,7.5,7,6' 0.5'',6' 2'',8' 0.5'',187.8,6' 2'',2015
Terran Petteway,SG,10.91,3.1,3.32,25,31,4.90%,8.25,8.25,6' 4.75'',6' 6'',8' 8.5'',209.2,6' 11.25'',2015
Terry Rozier,PG-SG,10.84,2.84,3.15,33,38,5.60%,8.25,8.5,6' 0.5'',6' 2.25'',8' 2.5'',190.2,6' 8.25'',2015
Treveon Graham,SF,11.64,3.15,3.3,28.5,31.5,5.50%,8.5,8.25,6' 4'',6' 5.75'',8' 7'',219.4,6' 10.5'',2015
Trey Lyles,PF,-,-,-,-,-,12.10%,9.25,10.25,6' 9'',6' 10.25'',9' 0'',241.2,7' 1.5'',2015
Tyler Harvey,SG,10.56,2.93,3.44,26,28.5,9.20%,7.75,8.75,6' 2.75'',6' 4'',8' 2.5'',181.4,6' 5.5'',2015
Tyus Jones,PG,11.84,2.95,3.32,26.5,32.5,6.50%,8.25,8.75,6' 0.5'',6' 2'',8' 1'',184.6,6' 5'',2015
Vince Hunter,PF,11.19,3.06,3.26,33.5,37.5,4.60%,9,8.75,6' 6.75'',6' 7.5'',8' 8.5'',208.4,6' 11'',2015
Willie Cauley-Stein,C,-,-,-,-,-,6.30%,9.5,9,6' 11.25'',7' 0.5'',9' 3'',242.4,7' 3'',2015
Aaron Craft,PG,10.78,2.9,3.26,29,32,6.10%,7.75,8.5,6' 0.75'',6' 1.75'',7' 10.5'',191.6,6' 2'',2014
Aaron Gordon,PF,10.81,2.76,3.27,32.5,39,5.05%,8.75,10.5,6' 7.5'',6' 8.75'',8' 9'',220.1,6' 11.75'',2014
Adreian Payne,PF,-,-,-,-,-,7.55%,9.25,9.5,6' 9'',6' 9.75'',9' 1'',238.5,7' 4'',2014
Alec Brown,PF,12.05,2.91,3.48,27,30,7.70%,9.25,8.75,7' 0.25'',7' 1.25'',9' 1'',231.2,7' 1.5'',2014
Alex Kirk,PF,11.2,3.19,3.48,28.5,31.5,13.60%,9.25,10.5,6' 9.25'',6' 10.75'',9' 1.5'',252,7' 3.5'',2014
C.J. Fair,SF,11,3.06,3.32,27,35,5.05%,9,9,6' 6.5'',6' 8'',8' 8'',218.1,6' 9.5'',2014
C.J. Wilcox,SG,11.3,2.92,3.22,31,37.5,6.50%,8.75,9,6' 3.5'',6' 5'',8' 4.5'',201,6' 9.75'',2014
Cameron Bairstow,PF,11.39,3.09,3.37,31,33.5,8.70%,8.75,9,6' 8.75'',6' 9.75'',8' 11'',252.4,7' 0.75'',2014
Cleanthony Early,SF,11.15,2.96,3.18,34,40,4.45%,8.5,9,6' 6'',6' 7.25'',8' 5.5'',209.4,6' 10.75'',2014
Cory Jefferson,PF,12.63,3.39,3.36,33,37.5,5.25%,8.75,9.75,6' 7.75'',6' 9'',8' 9'',218.4,7' 0.5'',2014
Dante Exum,SG,10.75,2.88,3.19,31.5,34.5,6.40%,8.5,9.5,6' 4.5'',6' 6'',8' 7'',196.3,6' 9.5'',2014
DeAndre Daniels,SF,11.46,3.04,3.44,26.5,32,3.85%,9.25,10.5,6' 7.25'',6' 8.5'',8' 10.5'',196,7' 2'',2014
Deonte Burton,PG,11.28,3.08,3.28,29,39.5,7.65%,8.25,8,6' 0'',6' 1.25'',8' 1.5'',192.8,6' 7'',2014
Devyn Marble,SG,11.32,3.08,3.28,29,35,6.90%,8.25,8.5,6' 5'',6' 6.5'',8' 6'',192.4,6' 9'',2014
Doug McDermott,SF,11.1,3.15,3.29,28.5,36.5,7.10%,8.75,9.75,6' 6.25'',6' 7.75'',8' 7'',218,6' 9.25'',2014
Dwight Powell,PF,11.28,2.88,3.2,28.5,35,6.20%,9,9.25,6' 9.5'',6' 11'',8' 9'',234.4,7' 0.5'',2014
Elfrid Payton,PG,11.06,2.92,3.23,31.5,35.5,5.65%,8.75,9,6' 2.5'',6' 3.75'',8' 2.5'',185.4,6' 8'',2014
Gary Harris,SG,-,-,-,-,-,4.55%,8.5,9.5,6' 2.5'',6' 4.5'',8' 0'',204.8,6' 6.75'',2014
Glenn Robinson III,SF,11.22,3.04,3.15,36.5,41.5,5.05%,9,9.5,6' 5.5'',6' 6.75'',8' 4.5'',211.4,6' 10'',2014
Jabari Brown,SG,11.6,3.26,3.5,28,32,6.05%,9,9.25,6' 3'',6' 4.25'',8' 4'',201.9,6' 8.25'',2014
James McAdoo,PF,11.61,2.91,3.28,29.5,34,6.15%,9.25,9,6' 7.5'',6' 8.75'',8' 10.5'',227.6,7' 2.25'',2014
James Young,SG,-,-,-,28,35.5,5.10%,9,9.5,6' 5.25'',6' 6.75'',8' 8'',213.3,7' 0'',2014
Jarnell Stokes,PF,11.92,3.2,3.26,31,36,8.20%,9.75,10.5,6' 7'',6' 8.5'',8' 7.5'',262.8,7' 1.25'',2014
Jerami Grant,SF,-,-,-,-,-,3.75%,9.25,9.25,6' 6.5'',6' 7.75'',8' 11'',214,7' 2.75'',2014
Joe Harris,SG,11.11,2.92,3.31,28.5,33.5,6.20%,8.5,9.75,6' 4.75'',6' 6.25'',8' 4'',215,6' 6'',2014
Johnny O?Bryant III,PF,11.57,3.32,3.45,31,35.5,10.75%,9.25,9.5,6' 7.25'',6' 8.5'',8' 9'',256.8,7' 2.25'',2014
Jordan Adams,SG,12.13,3.05,3.5,24.5,29.5,10.80%,8.5,7.5,6' 3.5'',6' 4.75'',8' 6'',208.8,6' 10'',2014
Jordan Bachynski,PF,12.15,3.03,3.36,29,33,7.45%,9.25,10,7' 1.25'',7' 2'',9' 0.5'',254.1,7' 4'',2014
Jordan Clarkson,PG,10.76,2.98,3.28,33,38.5,4.30%,8.25,9,6' 3.25'',6' 5'',8' 2'',186.3,6' 8'',2014
Jordan McRae,SG,11.07,3.15,3.39,27.5,34.5,5.20%,8.75,8.5,6' 3.75'',6' 5.25'',8' 8'',179.4,7' 0.5'',2014
Julius Randle,PF,11.45,3.14,3.27,29,35.5,9.40%,8.75,8.25,6' 7.75'',6' 9'',8' 9.5'',249.7,7' 0'',2014
K.J. McDaniels,SF,12.71,3.2,3.1,33,37,4.45%,8.75,9.75,6' 4.5'',6' 6'',8' 6'',195.6,6' 11.25'',2014
Kendall Williams,PG,10.83,2.85,-,27,33,7.20%,8,7.75,6' 2.25'',6' 3.75'',8' 3'',183,6' 5.5'',2014
Khem Birch,PF,11.6,3.24,3.26,30.5,35.5,6.00%,9,8.5,6' 7.5'',6' 9.25'',8' 11'',208.8,7' 1'',2014
Kyle Anderson,SF,-,-,-,-,-,13.35%,8.25,8.75,6' 7.5'',6' 8.5'',8' 11.5'',230.1,7' 2.75'',2014
LaQuinton Ross,SF,11.97,3.52,3.44,25,31,16.30%,8.75,9.75,6' 6.5'',6' 7.5'',8' 10'',238.7,7' 1.75'',2014
Lamar Patterson,SG,11.63,3.13,3.45,27.5,32.5,10.75%,9,9.25,6' 4'',6' 5.25'',8' 5'',226,6' 11'',2014
Marcus Smart,PG,10.82,2.96,3.26,33,36,10.55%,9,8.75,6' 2'',6' 3.25'',8' 3'',227.2,6' 9.25'',2014
Markel Brown,SG,12.62,2.9,3.18,36.5,43.5,4.20%,8.25,9.75,6' 2.5'',6' 3.5'',8' 4'',184.4,6' 8.75'',2014
Melvin Ejim,SF,11.55,3.12,3.14,29.5,35,6.45%,8.75,9.25,6' 5.25'',6' 7'',8' 7.5'',218.5,6' 11.25'',2014
Nick Johnson,SG,10.8,2.95,3.27,33.5,41.5,6.05%,8.75,9.75,6' 1.5'',6' 3'',8' 0.5'',198,6' 7.25'',2014
Nik Stauskas,SG,10.79,2.92,3.27,29,35.5,12.05%,8.5,8.5,6' 5.25'',6' 6.5'',8' 6'',206.9,6' 7.75'',2014
Noah Vonleh,PF,11.45,3.29,3.28,31,37,7.30%,9.75,11.75,6' 8'',6' 9.5'',9' 0'',247.1,7' 4.25'',2014
P.J. Hairston,SG,11.12,-,3.32,32,37,8.20%,8.75,9.75,6' 4.25'',6' 5.25'',8' 5'',228.8,6' 9'',2014
Patric Young,PF,11.18,3.06,3.43,32,37.5,5.45%,9.25,9.5,6' 8.5'',6' 10'',8' 7.5'',246.8,7' 1.75'',2014
Rodney Hood,SF,11.21,3.14,3.38,29,36,7.45%,8.5,8.5,6' 7.25'',6' 8.5'',8' 7'',208.2,6' 8.5'',2014
Russ Smith,PG,11.57,3.01,3.27,29.5,34,3.50%,8.25,8.5,5' 11.5'',6' 0.75'',7' 11'',160,6' 3.5'',2014
Sean Kilpatrick,SG,-,-,-,-,-,9.20%,9,9,6' 2.5'',6' 4.25'',8' 3'',218.7,6' 7'',2014
Semaj Christon,PG,11.55,3.21,3.32,30.5,36.5,5.25%,8.5,8.25,6' 1.5'',6' 3.25'',8' 3'',186,6' 6.5'',2014
Shabazz Napier,PG,11.6,3.13,3.2,30.5,37.5,7.35%,8.25,8.5,5' 11'',6' 1'',7' 9'',175.2,6' 3.25'',2014
Spencer Dinwiddie,PG,-,-,-,-,-,5.35%,8.25,9,6' 4.5'',6' 6'',8' 7'',204.9,6' 8.25'',2014
T.J. Warren,SF,11.1,3.04,3.26,27,35.5,7.95%,8.75,9,6' 7'',6' 8.25'',8' 8'',220.2,6' 10.25'',2014
Thanasis Antetokounmpo,SF,11.39,3.05,3.18,31.5,39.5,6.05%,9,9.75,6' 5.25'',6' 6.25'',8' 8.5'',205.2,7' 0'',2014
Tyler Ennis,PG,11.12,2.84,3.3,29,36,6.20%,8.25,8.75,6' 1'',6' 2.5'',8' 2'',181.5,6' 7.25'',2014
Xavier Thames,PG,11.48,3.02,3.48,29,32.5,6.40%,8.25,9,6' 2.25'',6' 3.5'',8' 0'',187,6' 4'',2014
Zach LaVine,PG,10.42,2.8,3.19,33.5,41.5,4.70%,8.25,8.75,6' 4.5'',6' 5.75'',8' 4'',180.9,6' 8.25'',2014
Adonis Thomas,SF,11.64,3.11,3.32,34.5,40.5,7.50%,9.25,9.5,6' 4.75'',6' 5.75'',8' 3'',231.8,7' 1'',2013
Alex Len,C,-,-,-,-,-,6.40%,9,10.75,,,,-,7' 3.5'',2013
Allen Crabbe,SG,10.67,3.1,3.32,30.5,36,4.65%,8.25,8.5,6' 5.25'',6' 6.25'',8' 7.5'',197.4,6' 11.25'',2013
Andre Roberson,PF-SF,11.36,3.02,3.34,30,36.5,7.05%,8.75,9.5,6' 6.25'',6' 7'',8' 8.5'',205.8,6' 11'',2013
Archie Goodwin,SG,10.75,3.41,3.27,30,36,4.55%,8.5,9,6' 3.75'',6' 5.25'',8' 6'',189,6' 9.5'',2013
BJ Young,SG-PG,-,-,-,-,-,4.70%,8.5,9.5,6' 2.25'',6' 3.5'',8' 3'',178.8,6' 8.25'',2013
Ben McLemore,SG,11.87,3.11,3.27,32.5,42,5.00%,8.75,9.5,6' 3.5'',6' 4.75'',8' 4.5'',189.2,6' 7.75'',2013
Brandon Davies,PF,11.22,3.14,3.5,26,31.5,8.60%,9,11,6' 8.5'',6' 10.25'',9' 0.5'',241.8,7' 1.5'',2013
Brandon Paul,SG,11.16,2.9,3.37,33.5,39.5,5.25%,8.5,9.5,6' 2.75'',6' 4'',8' 2'',201,6' 10.25'',2013
CJ Leslie,PF-SF,10.19,2.79,3.1,32.5,40.5,7.95%,8.75,9,6' 7.5'',6' 8.75'',8' 8.5'',209.2,7' 2.25'',2013
CJ McCollum,PG-SG,11.02,2.91,3.32,32,38.5,8.60%,8,9.5,6' 2.25'',6' 3.25'',8' 0.5'',197,6' 6.25'',2013
Carrick Felix,SF-SG,11.16,3.09,3.25,32,38.5,3.30%,8.5,9.5,6' 4.75'',6' 6.25'',8' 7.5'',202.6,6' 9.25'',2013
Cody Zeller,C-PF,10.82,2.69,3.15,35.5,37.5,4.75%,8.5,10.5,6' 10.75'',7' 0.25'',8' 10'',230,6' 10.75'',2013
Colton Iverson,C,11.52,3.04,3.52,26.5,30,9.60%,9.25,9.5,6' 10.5'',7' 0'',9' 2'',262.8,7' 2'',2013
Dennis Schroder,PG,11.09,2.86,3.21,30,34,4.10%,8.75,10.5,6' 1'',6' 2'',8' 2'',164.8,6' 7.75'',2013
Deshaun Thomas,SF,12.94,3.38,3.53,28.5,32,9.10%,8,8.75,6' 5'',6' 7'',8' 8'',219.8,6' 10'',2013
Dewayne Dedmon,C,12.75,3.26,3.4,28,32.5,8.35%,9,11,6' 10'',6' 11.5'',9' 1'',238.8,7' 4'',2013
Erick Green,PG,-,-,-,-,-,4.35%,8.5,9,6' 1.5'',6' 3'',8' 2'',178.2,6' 5.75'',2013
Erik Murphy,PF,12.19,2.96,3.57,24.5,29.5,7.95%,8.75,9.75,6' 8.75'',6' 9.5'',9' 0'',239.8,6' 10.5'',2013
Glen Rice,SF-SG,10.99,3.08,3.25,33,40.5,8.45%,8.5,9,6' 4.5'',6' 5.75'',8' 5.5'',210.8,6' 9.25'',2013
Gorgui Dieng,C,-,-,-,-,-,5.35%,9,10,6' 9.75'',6' 10.75'',9' 3.5'',229.6,7' 3.5'',2013
Grant Jerrett,PF,11.85,3.23,3.51,28.5,34,10.05%,8.5,9.25,6' 8.75'',6' 10.25'',9' 1'',232,7' 2'',2013
Isaiah Canaan,PG,10.98,2.89,3.22,33,40.5,5.90%,8.25,9.5,5' 11'',6' 0'',7' 10.5'',188.4,6' 4.5'',2013
Jackie Carmichael,PF,11.83,3.07,3.35,30,32,5.80%,9,10.25,6' 7.5'',6' 9'',8' 11'',241.2,7' 1.5'',2013
Jamaal Franklin,SG-SF,-,-,-,-,-,8.25%,8.5,8.25,6' 4'',6' 5.25'',8' 7.5'',190.8,6' 11.25'',2013
James Ennis,SF,11.55,3.06,3.4,29.5,36.5,4.50%,8.5,8.75,6' 5.75'',6' 7'',8' 8.5'',200.8,6' 11.5'',2013
James Southerland,SF-PF,10.9,3.03,3.38,29,32,8.05%,8,9.5,6' 7'',6' 8'',8' 10'',220.6,7' 1'',2013
Jeff Withey,C,12.49,3.29,3.47,26.5,29,8.65%,9,9.75,6' 10.75'',7' 0.5'',9' 2.5'',221.8,7' 2'',2013
Kelly Olynyk,PF-C,11.42,2.99,3.59,24.5,29.5,6.65%,8.5,10,6' 10.75'',7' 0'',9' 0'',234,6' 9.75'',2013
Kenny Kadji,PF-C,11.47,2.88,3.44,34,38,7.45%,9,10.25,6' 8.75'',6' 10'',8' 10.5'',241.6,7' 3'',2013
Kentavious Caldwell-Pope,SG,10.6,3.2,3.12,29,34.5,6.45%,8.5,9,6' 4.5'',6' 5.5'',8' 4.5'',203.6,6' 8'',2013
Lorenzo Brown,PG,11.78,3.24,3.4,28,34,3.95%,8.25,8.5,6' 4'',6' 5.25'',8' 4'',189.2,6' 7'',2013
Mason Plumlee,C-PF,10.89,2.76,3.29,30.5,36,6.15%,9.75,9.5,6' 11.25'',7' 0.5'',9' 0'',238.2,6' 11'',2013
Michael Carter-Williams,PG,10.68,3.7,3.22,31.5,41,4.40%,7.5,8.5,6' 4.75'',6' 5.75'',8' 5'',184.4,6' 7.25'',2013
Mike Muscala,C-PF,11.76,2.99,3.44,28,33.5,6.80%,8.5,9,6' 10.25'',6' 11.5'',9' 0'',230.2,7' 1'',2013
Myck Kabongo,PG,10.64,2.86,3.44,27.5,33.5,6.00%,8.25,9,6' 1.25'',6' 2.75'',8' 2'',180.4,6' 6.25'',2013
Nate Wolters,PG,-,-,-,-,-,5.50%,8.25,8.75,6' 3.5'',6' 4.75'',8' 2'',196.4,6' 3.75'',2013
Nerlens Noel,C,-,-,-,-,-,4.15%,9.5,10,6' 10'',6' 11.75'',9' 2'',206.4,7' 3.75'',2013
Norvel Pelle,PF-C,11.49,3.2,3.32,31,34.5,5.15%,8.75,9.5,6' 9.5'',6' 10.5'',9' 1'',207.2,7' 2.5'',2013
Otto Porter,SF,11.25,3.06,3.4,27,36,6.65%,8.75,9.25,6' 7.5'',6' 8.5'',8' 9.5'',197.6,7' 1.5'',2013
Peyton Siva,PG,10.59,2.93,3.16,33.5,41.5,6.05%,8,9.75,5' 11.5'',6' 1'',7' 9'',180.6,6' 3'',2013
Phil Pressey,PG,10.86,3.02,3.13,33,38.5,4.70%,7.75,9.75,5' 9.5'',5' 11.5'',7' 8'',177,6' 2.25'',2013
Pierre Jackson,PG,-,-,-,-,-,4.50%,7.5,8.25,5' 9.5'',5' 10.5'',7' 6'',176,5' 10'',2013
Ray McCallum,PG,10.82,3.08,3.25,30.5,40,7.30%,8,8.75,6' 0.25'',6' 1.75'',8' 0.5'',191.4,6' 3.25'',2013
Reggie Bullock,SG-SF,11.33,3.3,3.31,31,36.5,6.95%,8.5,9,6' 5.75'',6' 7'',8' 6'',199.8,6' 8.75'',2013
Richard Howell,PF,-,-,-,-,-,8.75%,8.75,9.5,6' 6.25'',6' 7.5'',8' 9.5'',249.6,6' 10.25'',2013
Ricky Ledo,SG,10.72,3.16,3.32,27,33.5,10.25%,8.5,9.25,6' 4.75'',6' 6'',8' 6.5'',197.2,6' 7.25'',2013
Robert Covington,SF-PF,11.69,3.1,3.34,29.5,36,4.70%,9,8.5,6' 6.25'',6' 7.5'',8' 10'',208.6,7' 1.75'',2013
Rudy Gobert,C,12.85,3.19,3.57,25,29,4.40%,9.75,10,7' 0.5'',7' 2'',9' 7'',237.6,7' 8.5'',2013
Ryan Kelly,PF,-,-,-,-,-,14.75%,9,10,6' 9.75'',6' 11.75'',9' 2'',228,6' 11.5'',2013
Seth Curry,SG,-,-,-,-,-,9.60%,8,8.25,6' 1'',6' 3'',8' 1.5'',179.2,6' 4'',2013
